Rian Treanor, File Under UK Metaplasm
Various Artists, Alterity
Nídia, Não Fales Nela Que A Mentes
Armand Hammer, Shrines
The Koreatown Oddity, Little Dominique’s Nosebleed
Neptunian Maximalism, Éons
Kelly Lee Owens, Inner Song
Spirit Adrift, Enlightened in Eternity
Waxahatchee, Saint Cloud
Pink Siifu, NEGRO
Pallbearer, Forgotten Days
Eartheater, Phoenix: Flames Are Dew Upon My Skin
Actress, Karma & Desire
Killah Priest, Rocket to Nebula
Preservation, Eastern Medicine, Western Illness
Against All Logic, 2017 – 2019
